data,taxa_anual
2018-06-20,"6,40"
2018-08-01,"6,40"
2018-09-19,"6,40"
2018-10-31,"6,40"
2018-12-12,"6,40"
2019-02-06,"6,40"
2019-03-20,"6,40"
2019-05-08,"6,40"
2019-06-19,"6,40"
2019-07-31,"5,90"
2019-09-18,"5,40"
2019-10-30,"4,90"
2019-12-11,"4,40"
2020-02-05,"4,15"
2020-03-18,"3,65"
2020-05-06,"2,90"
2020-06-17,"2,15"
2020-08-05,"1,90"
2020-09-16,"1,90"
2020-10-28,"1,90"
2020-12-09,"1,90"
2021-01-20,"1,90"
2021-03-17,"2,65"
2021-05-05,"3,40"
2021-06-16,"4,15"
2021-08-04,"5,15"
2021-09-22,"6,15"
2021-10-27,"7,65"
2021-12-08,"9,15"
2022-02-02,"10,65"
2022-03-16,"11,65"
2022-05-04,"12,65"
2022-06-15,"13,15"
2022-08-03,"13,65"
2022-09-21,"13,65"
2022-10-26,"13,65"
2022-12-07,"13,65"
2023-02-01,"13,65"
2023-03-22,"13,65"
2023-05-03,"13,65"
2023-06-21,"13,65"
2023-08-02,"13,15"
2023-09-20,"12,65"
2023-11-01,
