date,ipca,selic,cotacao_dolar,acoes_PBR
2000-08-10,0.07829758106197378,0.16528857142857142,1.8293064516129032,6.3125
2000-08-11,0.07826983360018357,0.16529714285714284,1.8299516129032256,6.84375
2000-08-12,0.07824208613839337,0.16530571428571428,1.8305967741935483,6.90625
2000-08-13,0.07821433867660316,0.16531428571428572,1.831241935483871,6.96875
2000-08-14,0.07818659121481296,0.16532285714285713,1.8318870967741934,7.03125
2000-08-15,0.07815884375302276,0.16533142857142857,1.832532258064516,7.109375
2000-08-16,0.07813109629123255,0.16534,1.8331774193548387,7.203125
2000-08-17,0.07810334882944235,0.16534857142857143,1.8338225806451611,7.390625
2000-08-18,0.07807560136765214,0.16535714285714284,1.8344677419354838,7.75
2000-08-19,0.07804785390586194,0.16536571428571428,1.8351129032258064,7.583333333333333
2000-08-20,0.07802010644407174,0.1653742857142857,1.8357580645161289,7.416666666666667
2000-08-21,0.07799235898228153,0.16538285714285714,1.8364032258064515,7.25
2000-08-22,0.07796461152049133,0.16539142857142855,1.8370483870967742,7.3125
2000-08-23,0.07793686405870112,0.1654,1.8376935483870966,7.34375
2000-08-24,0.07790911659691092,0.16542142857142855,1.8383387096774193,7.421875
2000-08-25,0.07788136913512073,0.16544285714285714,1.8389838709677417,7.453125
2000-08-26,0.07785362167333051,0.1654642857142857,1.8396290322580644,7.5
2000-08-27,0.07782587421154032,0.1654857142857143,1.840274193548387,7.546875
2000-08-28,0.07779812674975012,0.16550714285714285,1.8409193548387095,7.59375
2000-08-29,0.0777703792879599,0.1655285714285714,1.8415645161290322,7.484375
2000-08-30,0.07774263182616971,0.16555,1.8422096774193548,7.75
2000-08-31,0.0777148843643795,0.16557142857142856,1.8428548387096773,8.078125
2000-09-01,0.0776871369025893,0.16559285714285715,1.8435,7.921875
2000-09-02,0.07731438218580315,0.16561428571428571,1.8453833333333332,7.8828125
2000-09-03,0.076941627469017,0.16563571428571428,1.8472666666666666,7.84375
2000-09-04,0.07656887275223084,0.16565714285714286,1.8491499999999998,7.8046875
2000-09-05,0.0761961180354447,0.16567857142857143,1.8510333333333333,7.765625
2000-09-06,0.07582336331865855,0.16570000000000001,1.8529166666666665,7.90625
2000-09-07,0.0754506086018724,0.16572142857142858,1.8548,8.375
2000-09-08,0.07507785388508625,0.16574285714285714,1.8566833333333332,8.34375
2000-09-09,0.0747050991683001,0.16576428571428573,1.8585666666666665,8.260416666666666
2000-09-10,0.07433234445151395,0.1657857142857143,1.86045,8.177083333333334
2000-09-11,0.0739595897347278,0.16580714285714285,1.8623333333333332,8.09375
2000-09-12,0.07358683501794165,0.16582857142857144,1.8642166666666666,8.1875
2000-09-13,0.0732140803011555,0.16585,1.8660999999999999,8.03125
2000-09-14,0.07284132558436934,0.1658714285714286,1.8679833333333333,7.875
2000-09-15,0.0724685708675832,0.16589285714285715,1.8698666666666666,7.515625
2000-09-16,0.07209581615079705,0.1659142857142857,1.87175,7.494791666666667
2000-09-17,0.0717230614340109,0.1659357142857143,1.8736333333333333,7.473958333333333
2000-09-18,0.07135030671722475,0.16595714285714286,1.8755166666666665,7.453125
2000-09-19,0.07097755200043859,0.16597857142857145,1.8774,7.34375
2000-09-20,0.07060479728365245,0.166,1.8792833333333332,7.484375
2000-09-21,0.0702320425668663,0.1659857142857143,1.8811666666666667,7.546875
2000-09-22,0.06985928785008015,0.16597142857142858,1.88305,7.25
2000-09-23,0.069486533133294,0.16595714285714286,1.8849333333333333,7.244791666666667
2000-09-24,0.06911377841650784,0.16594285714285714,1.8868166666666666,7.239583333333333
2000-09-25,0.0687410236997217,0.16592857142857143,1.8886999999999998,7.234375
2000-09-26,0.06836826898293555,0.1659142857142857,1.8905833333333333,7.34375
2000-09-27,0.0679955142661494,0.1659,1.8924666666666665,7.6875
2000-09-28,0.06762275954936325,0.1658857142857143,1.89435,7.578125
2000-09-29,0.06725000483257709,0.1658714285714286,1.8962333333333332,7.5
2000-09-30,0.06687725011579095,0.16585714285714287,1.8981166666666667,7.505208333333333
2000-10-01,0.0665044953990048,0.16584285714285715,1.9,7.510416666666667
2000-10-02,0.06628979382776981,0.16582857142857144,1.902564516129032,7.515625
2000-10-03,0.06607509225653481,0.16581428571428572,1.9051290322580645,7.59375
2000-10-04,0.06586039068529982,0.1658,1.9076935483870967,7.546875
2000-10-05,0.06564568911406482,0.1657857142857143,1.910258064516129,7.578125
2000-10-06,0.06543098754282983,0.16577142857142857,1.9128225806451613,7.609375
2000-10-07,0.06521628597159483,0.16575714285714285,1.9153870967741935,7.546875
2000-10-08,0.06500158440035984,0.16574285714285714,1.9179516129032257,7.484375
2000-10-09,0.06478688282912486,0.16572857142857142,1.920516129032258,7.421875
2000-10-10,0.06457218125788985,0.1657142857142857,1.9230806451612903,7.46875
2000-10-11,0.06435747968665487,0.16570000000000001,1.9256451612903225,7.65625
2000-10-12,0.06414277811541987,0.1656857142857143,1.928209677419355,7.6875
2000-10-13,0.06392807654418488,0.16567142857142858,1.930774193548387,7.75
2000-10-14,0.06371337497294989,0.16565714285714286,1.9333387096774193,7.723958333333333
2000-10-15,0.06349867340171489,0.16564285714285715,1.9359032258064515,7.697916666666667
2000-10-16,0.0632839718304799,0.16562857142857143,1.9384677419354839,7.671875
2000-10-17,0.0630692702592449,0.16561428571428571,1.941032258064516,7.5
2000-10-18,0.06285456868800991,0.1656,1.9435967741935483,7.09375
2000-10-19,0.06263986711677491,0.16554857142857143,1.9461612903225807,7.359375
2000-10-20,0.062425165545539923,0.16549714285714284,1.9487258064516129,7.390625
