data,cotacao
2016-12-01,3.2532
2017-01-01,3.1507
2017-02-01,3.1086
2017-03-01,3.123
2017-04-01,3.1758
2017-05-01,3.2262
2017-06-01,3.3063
2017-07-01,3.1259
2017-08-01,3.1474
2017-09-01,3.1614
2017-10-01,3.2724
2017-11-01,3.2726
2017-12-01,3.3121
2018-01-01,3.1858
2018-02-01,3.2458
2018-03-01,3.3046
2018-04-01,3.5066
2018-05-01,3.7225
2018-06-01,3.8765
2018-07-01,3.7557
2018-08-01,4.0545
2018-09-01,4.0477
2018-10-01,3.7218
2018-11-01,3.8662
2018-12-01,3.8804
2019-01-01,3.6439
2019-02-01,3.7511
2019-03-01,3.9238
2019-04-01,3.9207
2019-05-01,3.9218
2019-06-01,3.8518
2019-07-01,3.8125
2019-08-01,4.1445
2019-09-01,4.1551
2019-10-01,4.0174
2019-11-01,4.2364
2019-12-01,4.019
2020-01-01,4.282
2020-02-01,4.4733
2020-03-01,5.2046
2020-04-01,5.4858
2020-05-01,5.3361
2020-06-01,5.4661
2020-07-01,5.224
2020-08-01,5.4914
2020-09-01,5.6112
2020-10-01,5.7446
2020-11-01,5.3319
2020-12-01,5.1937
2021-01-01,5.4625
2021-02-01,5.5986
2021-03-01,5.6315
2021-04-01,5.4366
2021-05-01,5.2172
2021-06-01,4.9686
2021-07-01,5.2123
2021-08-01,5.1492
2021-09-01,5.4428
2021-10-01,5.6372
2021-11-01,5.6239
2021-12-01,5.5703
2022-01-01,5.3041
2022-02-01,5.1599
2022-03-01,4.739
2022-04-01,4.9721
2022-05-01,4.7315
2022-06-01,5.2562
2022-07-01,5.1734
2022-08-01,5.1831
2022-09-01,5.4154
2022-10-01,5.1791
2022-11-01,5.1851
2022-12-01,5.286
2023-01-01,5.0731
2023-02-01,5.2367
2023-03-01,5.0631
2023-04-01,4.9865
2023-05-01,5.0574
2023-06-01,4.786
2023-07-01,4.7241
2023-08-01,4.9544
2023-09-01,5.032
2023-10-01,5.035
2023-11-01,4.8857
